goal angle (rad, body frame),reward
-3.141592653589793116e+00,2.368072271347045898e-01
-3.035097987366410344e+00,2.496467828750610352e-01
-2.928603321143027571e+00,2.636568248271942139e-01
-2.822108654919644799e+00,2.786802947521209717e-01
-2.715613988696262027e+00,2.958341538906097412e-01
-2.609119322472879254e+00,3.153475224971771240e-01
-2.502624656249496482e+00,3.342868387699127197e-01
-2.396129990026113266e+00,3.519632220268249512e-01
-2.289635323802730493e+00,3.692963719367980957e-01
-2.183140657579347721e+00,3.861105442047119141e-01
-2.076645991355964949e+00,4.021990299224853516e-01
-1.970151325132582176e+00,4.162241220474243164e-01
-1.863656658909199404e+00,4.265747070312500000e-01
-1.757161992685816632e+00,4.359303712844848633e-01
-1.650667326462433637e+00,4.441980719566345215e-01
-1.544172660239050865e+00,4.512848854064941406e-01
-1.437677994015668093e+00,4.571149945259094238e-01
-1.331183327792285320e+00,4.616221785545349121e-01
-1.224688661568902548e+00,4.647505283355712891e-01
-1.118193995345519554e+00,4.664646387100219727e-01
-1.011699329122136781e+00,4.667451679706573486e-01
-9.052046628987540089e-01,4.655888676643371582e-01
-7.987099966753712366e-01,4.607910513877868652e-01
-6.922153304519884642e-01,4.549986422061920166e-01
-5.857206642286056919e-01,4.494618177413940430e-01
-4.792259980052229196e-01,4.433833956718444824e-01
-3.727313317818401472e-01,4.368040859699249268e-01
-2.662366655584569308e-01,4.298260211944580078e-01
-1.597419993350741585e-01,4.225350916385650635e-01
-5.324733311169138616e-02,4.150142669677734375e-01
5.324733311169138616e-02,4.073488414287567139e-01
1.597419993350741585e-01,3.996255397796630859e-01
2.662366655584569308e-01,3.925093412399291992e-01
3.727313317818397032e-01,3.815443515777587891e-01
4.792259980052224755e-01,3.705729842185974121e-01
5.857206642286052478e-01,3.597196042537689209e-01
6.922153304519880201e-01,3.479872345924377441e-01
7.987099966753707925e-01,3.346709609031677246e-01
9.052046628987540089e-01,3.198184967041015625e-01
1.011699329122136781e+00,3.038789927959442139e-01
1.118193995345519554e+00,2.882474660873413086e-01
1.224688661568902326e+00,2.735548913478851318e-01
1.331183327792285098e+00,2.639588117599487305e-01
1.437677994015667871e+00,2.558348178863525391e-01
1.544172660239050643e+00,2.485633343458175659e-01
1.650667326462433415e+00,2.422207146883010864e-01
1.757161992685816188e+00,2.368710935115814209e-01
1.863656658909198960e+00,2.306987792253494263e-01
1.970151325132581732e+00,2.237574905157089233e-01
2.076645991355964505e+00,2.177675366401672363e-01
2.183140657579347277e+00,2.128013074398040771e-01
2.289635323802730049e+00,2.095688134431838989e-01
2.396129990026112822e+00,2.075421512126922607e-01
2.502624656249495594e+00,2.067026197910308838e-01
2.609119322472879254e+00,2.070592939853668213e-01
2.715613988696262027e+00,2.086070179939270020e-01
2.822108654919644799e+00,2.113262414932250977e-01
2.928603321143027571e+00,2.152094841003417969e-01
3.035097987366410344e+00,2.252842783927917480e-01
3.141592653589793116e+00,2.368072271347045898e-01
